eta,Y,X,Phi,U,Pi,F_decimal,pressure_increment_decimal,log10_F,V0_over_X,angular_relative,axial_relative,pressure_relative
-0.6,2.05,0.00400390625,0.5597128410246704,-2.641564647540113,-54.06574394463668,5.318588876034329484734528e-142,2.193857117753826446499603e-285,-141.27420357910418,-0.7712309391103076,2.150568729144895e-32,6.423293218744503e-45,3.492914560453064e-29
-0.6,2.118333333333333,0.004137369791666666,0.547325593211721,-2.650257135752396,-54.06574394463668,5.200880877229047480502968e-142,2.230779522673391022283452e-285,-141.283923093342,-0.7592141212910455,4.515421597799655e-32,1.3213801520785653e-44,6.813255657676784e-29
-0.6,2.1866666666666665,0.004270833333333333,0.5350794710218539,-2.658947875285607,-54.06574394463668,5.084513903881881205270839e-142,2.266077050148492971715633e-285,-141.29375056072607,-0.7471979329042372,9.268484634300358e-32,2.656751217171769e-44,1.2858526543963774e-28
-0.6,2.255,0.004404296875,0.5229738199461713,-2.6676368614873223,-54.06574394463668,4.969481736618381403658797e-142,2.299804213457349938361696e-285,-141.30368890113851,-0.7351823800456662,1.8625154291865047e-31,5.228045667237167e-44,2.3452896507006727e-28
-0.6,2.3233333333333333,0.0045377604166666665,0.5110079811042042,-2.676324089706587,-54.06574394463668,4.855778114523885521946519e-142,2.332014204469554755966958e-285,-141.31374116662792,-0.7231674688119164,3.668869759103033e-31,1.008209255420855e-43,4.124287631373567e-28
-0.6,2.3916666666666666,0.004671223958333333,0.49918129131974526,-2.6850095552939237,-54.06574394463668,4.743396735864110045585461e-142,2.362758914983725148060955e-285,-141.32391054960686,-0.7111532053003675,7.092807833763171e-31,1.907628361379749e-43,6.963247540211278e-28
-0.6,2.46,0.0048046875,0.4874930831966082,-2.693693253601336,-54.06574394463668,4.632331258805042768112491e-142,2.392088957914274798825988e-285,-141.33420039169704,-0.6991395956091884,1.3471840063744304e-30,3.545149725766961e-43,1.120332700674456e-27
-0.6,2.5283333333333333,0.004938151041666667,0.4759426851943073,-2.7023751799823144,-54.06574394463668,4.522575302132076610055674e-142,2.420053688324898522247283e-285,-141.34461419328449,-0.6871266458373317,2.5164579082961443e-30,6.47740041846211e-43,1.6944068586379957e-27
-0.6,2.5966666666666667,0.005071614583333333,0.4645294217036513,-2.7110553297918423,-54.06574394463668,4.414122445968327535318248e-142,2.446701224306441868978384e-285,-141.3551556238543,-0.6751143620845286,4.627043772125807e-30,1.164623830100686e-42,2.3432760077566855e-27
-0.6,2.665,0.005205078125,0.45325261312224535,-2.7197336983864013,-54.06574394463668,4.306966232492084199608334e-142,2.472078467696901744881753e-285,-141.3658285331828,-0.6631027504512822,8.381763686369872e-30,2.0623012889204336e-42,2.7694928954119917e-27
-0.6,2.7333333333333334,0.005338541666666667,0.4421115759298958,-2.728410281123978,-54.06574394463668,4.201100166653328457120867e-142,2.496231124641383780475221e-285,-141.37663696347363,-0.6510918170388623,1.4969946131189116e-29,3.599442670574203e-42,2.1671847947268476e-27
-0.6,2.8016666666666663,0.005472005208333333,0.43110562276391184,-2.7370850733640686,-54.06574394463668,4.096517716889276840418358e-142,2.519203725989915957189268e-285,-141.38758516253517,-0.6390815679492998,2.637517449750939e-29,6.196486011623863e-42,1.347743998414333e-27
-0.6,2.8699999999999997,0.005605468749999999,0.42023406249429685,-2.745758070467685,-54.06574394463668,3.993212315838879096911028e-142,2.541039647531097251549937e-285,-141.39867759810872,-0.6270720092853805,4.588100531198867e-29,1.0528601061109011e-41,1.1830912545780073e-26
-0.6,2.938333333333333,0.005738932291666666,0.40949620029882644,-2.75442926779736,-54.06574394463668,3.891177361056232999718008e-142,2.561781130059630298935496e-285,-141.40991897346956,-0.6150631471506398,7.885065233526523e-29,1.7667635931894946e-41,3.754686463415177e-26
-0.6,3.0066666666666664,0.005872395833333333,0.39889133773800434,-2.763098660717154,-54.06574394463668,3.790406215722843727109144e-142,2.581469299275868782969924e-285,-141.42131424444003,-0.6030549876493565,1.3395734651938938e-28,2.9296647146908377e-41,9.467539228580095e-26
-0.6,3.0749999999999997,0.0060058593749999995,0.3884187728298929,-2.77176624459266,-54.06574394463668,3.690892209358687628921645e-142,2.600144185515577675110147e-285,-141.43286863796996,-0.5910475368865473,2.2508898140584802e-28,4.803097933390577e-41,2.1391732245959163e-25
-0.6,3.143333333333333,0.006139322916666666,0.37807780012481085,-2.7804320147910087,-54.06574394463668,3.592628638532018182088641e-142,2.617844743308182937829826e-285,-141.4445876724618,-0.5790408009679611,3.742751004082513e-28,7.789436102020555e-41,4.520612383404013e-25
